,display_name,name,start_date,end_date,type,code,capitalization,circulating_cap,market_cap,circulating_market_cap,证监会行业,聚宽二级行业,申万三级行业,概念
000001.XSHE,平安银行,PAYH,1991-04-03,2200-01-01,stock,000001.XSHE,1940591.8198,1940560.0653,2130.7698,2130.735,货币金融服务,综合性银行,股份制银行III,深股通|证金持股|融资融券|MSCI概念
000002.XSHE,万科A,WKA,1991-01-29,2200-01-01,stock,000002.XSHE,1193070.9471,971693.5865,387.7481,315.8004,房地产业,房地产开发,房地产开发III,冷链物流|装配式建筑|深股通|体育产业|证金持股|融资融券|超级品牌|粤港澳自贸区|物业管理|租售同权|空间计算|机器人概念|MSCI概念|养老概念
000004.XSHE,*ST国华,*STGH,1990-12-01,2200-01-01,stock,000004.XSHE,13238.0282,12628.9068,3.6537,3.4856,软件和信息技术服务业,通用软件,横向通用软件III,互联网金融|物联网|工业互联网|电力物联网|人工智能|人脸识别|5G|网络安全|云计算|粤港澳自贸区|储能|数据安全|信创|抖音概念|华为概念|车联网(车路协同)
000005.XSHE,ST星源,STXY,1990-12-10,2024-04-25,stock,000005.XSHE,,,,,,,,
000006.XSHE,深振业A,SZYA,1992-04-27,2200-01-01,stock,000006.XSHE,134999.5046,134998.4846,114.8846,114.8837,房地产业,房地产开发,房地产开发III,深圳国资改革|深股通|证金持股|融资融券|粤港澳自贸区|物业管理|国企改革
000007.XSHE,全新好,QXH,1992-04-13,2200-01-01,stock,000007.XSHE,34644.8044,34644.8044,42.6478,42.6478,房地产业,房地产管理,商业物业经营III,口罩|粤港澳自贸区|物业管理
000008.XSHE,神州高铁,SZGT,1992-05-07,2200-01-01,stock,000008.XSHE,271637.7683,271629.6952,70.3542,70.3521,铁路、船舶、航空航天和其他运输设备制造业,城轨铁路,铁路设备III,智慧城市|一带一路|工业4.0|深股通|高铁|职业教育|融资融券|转融券标的|国企改革|机器人概念|腾讯概念|华为概念|锂电池概念
000009.XSHE,中国宝安,ZGBA,1991-06-25,2200-01-01,stock,000009.XSHE,257921.3965,257602.0465,185.4455,185.2159,其他金融业,电池部件及材料,电池化学品III,石墨烯|无线充电|充电桩|3D打印|燃料电池|创投|一带一路|军工|深股通|农机|土地流转|生物医药|钴|石墨电极|举牌|融资融券|参股新三板|粤港澳自贸区|钠离子电池|储能|动力电池回收|物业管理|金属回收|比亚迪概念|减速器|氢能源|固态电池|人形机器人|北交所概念|机器人概念|宁德时代概念|黄金概念|小金属概念|锂电池概念
000010.XSHE,*ST美丽,*STML,1995-10-27,2200-01-01,stock,000010.XSHE,114965.2292,86814.2135,25.9821,19.62,土木工程建筑业,基础设施建设,园林工程III,新型城镇化|抽水蓄能|煤炭概念
000011.XSHE,深物业A,SWYA,1992-03-30,2200-01-01,stock,000011.XSHE,59597.9092,52647.5543,45.1752,39.9068,房地产业,房地产管理,房地产开发III,深圳国资改革|深股通|债转股|粤港澳自贸区|物业管理|国企改革|化债(AMC)|25中报预增
000012.XSHE,南玻A,NBA,1992-02-28,2200-01-01,stock,000012.XSHE,304246.8811,195931.6598,133.2601,85.8181,非金属矿物制品业,玻璃,玻璃制造III,汽车电子|特斯拉|OLED|一带一路|军工|深股通|雄安新区|融资融券|建筑节能|新能源|光伏概念|触摸屏
000014.XSHE,沙河股份,SHGF,1992-06-02,2200-01-01,stock,000014.XSHE,24204.6224,24204.6224,25.8263,25.8263,房地产业,房地产开发,房地产开发III,智能家居|深圳国资改革|股权转让|粤港澳自贸区|物业管理|国企改革
000016.XSHE,*ST康佳A,*STKJA,1992-03-27,2200-01-01,stock,000016.XSHE,240794.5408,159659.38,76.5727,50.7717,计算机、通信和其他电子设备制造业,白色家电,冰洗III,工业互联网|人工智能|网约车|5G|MiniLED|智能穿戴|智能家居|无线耳机|污水处理|创投|家用电器|股权转让|转融券标的|PCB概念|国企改革|芯片概念|腾讯概念|MicroLED|DeepSeek
000017.XSHE,深中华A,SZHA,1992-03-31,2200-01-01,stock,000017.XSHE,68918.4933,44082.1951,36.6646,23.4517,文教、工美、体育和娱乐用品制造业,珠宝与奢侈品,钟表珠宝III,新零售|智能穿戴|粤港澳自贸区|两轮车|黄金概念|锂电池概念|25中报预增
000018.XSHE,神城A退,SCAT,1992-06-16,2020-01-06,stock,000018.XSHE,,,,,,,,
000019.XSHE,深粮控股,SLKG,1992-10-12,2200-01-01,stock,000019.XSHE,115253.5254,41620.6407,73.9928,26.7205,批发业,贸易商,粮油加工III,冷链物流|一带一路|深圳国资改革|深股通|预制菜|数字乡村|粮食概念|国企改革
000020.XSHE,深华发A,SHFA,1992-04-28,2200-01-01,stock,000020.XSHE,28316.1227,18116.5391,35.2819,22.5732,计算机、通信和其他电子设备制造业,面板,显示器件III,粤港澳自贸区|物业管理
000021.XSHE,深科技,SKJ,1994-02-02,2200-01-01,stock,000021.XSHE,157436.978,157413.908,600.3072,600.2192,计算机、通信和其他电子设备制造业,安防设备及其他,消费电子零部件及组装III,物联网|超级电容|节能照明|汽车电子|区块链|无人机|智能电网|工业4.0|深股通|第三代半导体|融资融券|转融券标的|储能|虚拟电厂|国企改革|机器人概念|芯片概念|医疗器械概念|MSCI概念|集成电路概念
000022.XSHE,深赤湾A,SCWA,1993-05-05,2018-12-25,stock,000022.XSHE,,,,,,,,
000023.XSHE,*ST深天,*STST,1993-04-29,2024-08-30,stock,000023.XSHE,,,,,,,,
000024.XSHE,招商地产,ZSDC,1993-06-07,2015-12-29,stock,000024.XSHE,,,,,,,,
