,name,start_date
851731,高速公路III,2005-05-27
850942,其他交运设备服务III,2011-09-23
850231,其他采掘III,2005-05-27
850232,汽车经销商III,2021-12-11
850233,汽车综合服务III,2021-12-11
850922,车身附件及饰件III,2021-12-11
851631,燃气III,2005-05-27
852121,酒店III,2005-05-27
857662,院线III,2021-12-11
850941,汽车服务III,2005-05-27
850933,其他交运设备III,2005-05-27
850932,农机设备III,2005-05-27
850931,摩托车III,2005-05-27
851832,房产租赁经纪III,2021-12-11
850937,其他交运设备III,2011-09-23
850936,铁路设备III,2007-07-04
850935,船舶制造III,2007-07-04
850934,航空航天设备III,2007-07-04
852151,其他休闲服务III,2014-02-21
851122,其它视听器材III,2005-05-27
851121,彩电III,2005-05-27
851941,保险III,2007-01-18
852232,软件开发及服务III,2008-06-26
852233,系统集成III,2008-06-26
852231,计算机应用III,2005-05-27
851641,环保工程及服务III,2005-05-27
859951,电视广播III,2021-12-11
851784,快递III,2021-12-11
850816,集成电路制造III,2021-12-11
851013,通信传输设备III,2005-05-27
851012,终端设备III,2005-05-27
851011,交换设备III,2005-05-27
857351,硅料硅片III,2021-12-11
851541,医药商业III,2005-05-27
851543,线下药店III,2021-12-11
851014,通信配套服务III,2008-06-26
850421,金属制品III,2005-05-27
850542,钨III,2014-02-21
850543,锂III,2014-02-21
850541,稀土III,2014-02-21
857451,军工电子III,2021-12-11
850544,其他稀有小金属III,2014-02-21
850545,钼III,2021-12-11
851491,其他家居用品III,2021-12-11
850371,其他化工新材料III,2005-05-27
859512,焦煤III,2021-12-11
859511,动力煤III,2021-12-11
851413,特种纸III,2021-12-11
850861,电子化学品III,2021-12-11
850373,玻纤III,2011-09-23
852041,专业连锁III,2014-02-21
850161,农业综合III,2005-05-27
850112,粮食种植III,2005-05-27
851831,物业管理III,2021-12-11
852012,专业连锁III,2005-05-27
851833,房地产综合服务III,2021-12-11
852011,百货零售III,2005-05-27
850344,其他纤维III,2005-05-27
850345,氨纶III,2008-06-27
850346,锦纶III,2021-12-11
850341,涤纶III,2005-05-27
850342,维纶III,2005-05-27
850343,粘胶III,2005-05-27
851161,家电零部件III,2021-12-11
850114,食用菌III,2021-12-11
851761,航运III,2005-05-27
859633,其他石化III,2021-12-11
859632,油品石化贸易III,2021-12-11
859631,炼油化工III,2021-12-11
852161,体育III,2021-12-11
851931,证券III,2005-05-27
857411,航天装备III,2014-02-21
859831,医美耗材III,2021-12-11
850335,涂料油漆油墨制造III,2005-05-27
851116,冰洗III,2021-12-11
851114,小家电III,2005-05-27
851115,家电零部件III,2005-05-27
851112,空调III,2005-05-27
851113,洗衣机III,2005-05-27
851111,冰箱III,2005-05-27
850741,电机III,2005-05-27
850742,电气自控设备III,2005-05-27
850743,电源设备III,2005-05-27
850744,输变电设备III,2005-05-27
850745,其他电力设备III,2005-05-27
850334,日用化学产品III,2005-05-27
850131,林业III,2005-05-27
857851,农商行III,2021-12-11
851435,文娱用品III,2011-09-23
851434,珠宝首饰III,2011-09-23
851437,成品家居III,2021-12-11
851436,瓷砖地板III,2021-12-11
851431,其他轻工制造III,2005-05-27
851433,其他家用轻工III,2007-07-04
851432,家具III,2007-07-04
851439,卫浴制品III,2021-12-11
851438,定制家居III,2021-12-11
850515,黄金III,2007-07-04
850514,铅锌III,2007-07-04
850516,小金属III,2007-07-04
850511,有色金属冶炼III,2005-05-27
850513,铜III,2007-07-04
850512,铝III,2007-07-04
851021,计算机设备III,2005-05-27
851026,通信终端及配件III,2021-12-11
851027,其他通信设备III,2021-12-11
851024,通信网络设备及器件III,2021-12-11
851025,通信线缆及配套III,2021-12-11
852013,商业物业经营III,2007-07-04
850821,元件III,2005-05-27
