,name,start_date
HY02139,其他有色金属及合金,2021-12-13
HY10005,燃气,2016-12-12
HY02006,纤维及树脂,2016-12-12
HY02007,化肥与农药,2016-12-12
HY02004,橡胶制品,2016-12-12
HY02135,钨钼,2021-12-13
HY10008,电网,2016-12-12
HY04126,酒店,2021-12-13
HY02108,氨纶及其他化纤,2021-12-13
HY08112,面板,2021-12-13
HY08113,LED,2021-12-13
HY03130,化工机械,2021-12-13
HY08110,印制电路板,2021-12-13
HY06110,药品制剂,2021-12-13
HY02134,稀土金属,2021-12-13
HY03113,其他发电设备,2021-12-13
HY08120,分立器件,2021-12-13
HY08114,光学元件,2021-12-13
HY10004,新能源发电,2016-12-12
HY10007,水务,2016-12-12
HY04101,汽车系统部件,2021-12-13
HY05118,美容护理,2021-12-13
HY05115,畜牧产品,2021-12-13
HY10001,火电,2016-12-12
HY05116,渔业产品,2021-12-13
HY05111,农产品,2021-12-13
HY05110,其他食品,2021-12-13
HY05112,种业,2021-12-13
HY02008,其他化学制品,2016-12-12
HY02132,黄金,2021-12-13
HY03112,风电设备,2021-12-13
HY02005,印染化学品,2016-12-12
HY03160,高速公路,2021-12-13
HY07010,金融交易与数据,2020-06-15
HY06113,制药与生物科技服务,2021-12-13
HY06108,其他生物药品,2021-12-13
HY03110,建筑产品,2021-12-13
HY02001,化学原料,2016-12-12
HY06103,体外诊断,2021-12-13
HY02130,铅锌,2021-12-13
HY09107,数字营销,2021-12-13
HY06107,疫苗,2021-12-13
HY09103,通信终端设备及组件,2021-12-13
HY02131,钴镍,2021-12-13
HY06105,医药商业,2021-12-13
HY11001,房地产开发,2016-12-12
HY03033,高速公路,2016-12-12
HY04102,汽车内饰与外饰,2021-12-13
HY04105,其他汽车零部件,2021-12-13
HY10003,核电,2016-12-12
HY03114,电网自动化,2021-12-13
HY02020,非金属采矿及制品,2016-12-12
HY05101,白酒,2021-12-13
HY02009,水泥,2016-12-12
HY04104,轮胎,2021-12-13
HY04003,汽车,2016-12-12
HY04006,消费电子产品,2016-12-12
HY02136,锂,2021-12-13
HY02137,其他稀有金属,2021-12-13
HY02133,其他贵金属,2021-12-13
HY08111,被动元件,2021-12-13
HY08116,其他电子,2021-12-13
HY08117,集成电路设计,2021-12-13
HY08115,电子化学品,2021-12-13
HY08118,集成电路制造,2021-12-13
HY08119,集成电路封测,2021-12-13
HY03129,采矿冶金机械,2021-12-13
HY03141,污水处理,2021-12-13
HY07113,保险经纪商,2025-06-16
HY07112,财产与意外伤害保险,2021-12-13
HY07111,多元化保险,2021-12-13
HY07110,人寿与健康保险,2021-12-13
HY10108,燃气,2021-12-13
HY03143,节能与资源回收,2021-12-13
HY04114,厨卫电器,2021-12-13
HY03119,电池部件及材料,2021-12-13
HY10104,风电,2021-12-13
HY06009,药品经销商,2016-12-12
HY04130,培训教育及其他,2021-12-13
HY04131,百货商店,2021-12-13
HY04132,超市与便利店,2021-12-13
HY04133,专营零售,2021-12-13
HY05103,黄酒,2021-12-13
HY02140,普钢,2021-12-13
HY04109,汽车服务,2021-12-13
HY03016,其他机械设备,2016-12-12
HY10105,光伏发电,2021-12-13
HY06004,医疗保健机构,2016-12-12
HY03122,动力机械,2021-12-13
HY03123,气液机械,2021-12-13
HY03120,其他储能设备,2021-12-13
HY03121,加工机械,2021-12-13
HY03126,磨具磨料,2021-12-13
HY03127,其他通用机械,2021-12-13
HY03124,电动机与工控自动化,2021-12-13
HY03125,仪器仪表,2021-12-13
HY04108,汽车经销商,2021-12-13
HY10102,水电,2021-12-13
HY04134,旅游零售,2021-12-13
HY10103,核电,2021-12-13
HY02106,锦纶与涤纶,2021-12-13
HY03128,工程机械,2021-12-13
HY02002,涂料涂漆,2016-12-12
HY05013,个人用品,2016-12-12
HY08010,半导体,2016-12-12
HY03013,农用机械,2016-12-12
HY06003,医疗保健服务,2016-12-12
HY02113,其他化学原料,2021-12-13
HY03158,机场,2021-12-13
HY03157,公共交通,2021-12-13
HY03156,公路运输,2021-12-13
HY03155,铁路运输,2021-12-13
HY03154,航运,2021-12-13
HY03152,物流综合,2021-12-13
HY03151,快递,2021-12-13
HY03150,其他商业服务与用品,2021-12-13
HY04018,餐馆,2016-12-12
HY04013,纺织品,2016-12-12
HY06106,血液制品,2021-12-13
HY01101,油气开采,2021-12-13
HY03105,基础设施建设,2021-12-13
HY02125,其他塑料制品,2021-12-13
HY07002,区域性银行,2016-12-12
HY02127,橡胶制品,2021-12-13
HY02126,橡胶助剂,2021-12-13
HY02129,铝,2021-12-13
HY04008,家用电器,2016-12-12
HY02102,钾肥,2021-12-13
HY04009,家用器具与特殊消费品,2016-12-12
HY05108,乳制品,2021-12-13
HY05109,休闲食品,2021-12-13
HY05102,啤酒,2021-12-13
HY08122,半导体设备,2021-12-13
HY08121,半导体材料,2021-12-13
HY05106,肉制品,2021-12-13
HY05107,调味品与食用油,2021-12-13
HY05104,葡萄酒及其他,2021-12-13
HY05105,软饮料,2021-12-13
HY07104,特殊金融服务,2021-12-13
HY03027,航空公司,2016-12-12
HY08104,云计算服务,2021-12-13
HY02011,其他建材,2016-12-12
HY05114,动物保健与育种,2021-12-13
HY06102,医疗耗材,2021-12-13
HY06001,医疗器械,2016-12-12
HY03117,线缆及其他,2021-12-13
HY03116,配电设备,2021-12-13
HY03115,输变电设备,2021-12-13
HY02013,纸材料包装,2016-12-12
HY01007,煤炭,2016-12-12
HY02010,玻璃,2016-12-12
HY02012,金属与玻璃容器,2016-12-12
HY05113,饲料,2021-12-13
HY02015,铜,2016-12-12
HY06101,医疗设备,2021-12-13
HY02014,铝,2016-12-12
HY06005,医疗保健技术,2016-12-12
HY06008,中药,2016-12-12
HY02016,黄金及其它贵金属,2016-12-12
HY08108,消费电子组件及零部件,2021-12-13
HY09111,出版,2021-12-13
HY09110,游戏,2021-12-13
HY09113,视频媒体,2021-12-13
HY04135,互联网零售,2021-12-13
HY09115,互动媒体,2021-12-13
HY09114,图文媒体,2021-12-13
HY03029,铁路运输,2016-12-12
HY03028,航运,2016-12-12
HY02019,钢铁,2016-12-12
HY03018,环保工程,2016-12-12
HY03025,航空货运,2016-12-12
HY03024,其他商业服务,2016-12-12
HY03023,工业品贸易商,2016-12-12
HY03021,市场服务,2016-12-12
HY03020,商业印刷,2016-12-12
HY03017,环保设备,2016-12-12
HY01003,综合性石油与天然气企业,2016-12-12
HY03015,船舶制造,2016-12-12
HY03019,环保服务,2016-12-12
HY10111,供热及其他,2021-12-13
HY10110,市政环卫,2021-12-13
HY03010,通用机械,2016-12-12
HY03011,工程机械,2016-12-12
HY03022,办公服务与用品,2016-12-12
HY03118,电池,2021-12-13
HY11101,房地产开发,2021-12-13
HY02149,林业产品,2021-12-13
HY02022,纸制品,2016-12-12
HY02143,水泥与混凝土,2021-12-13
HY02141,特钢,2021-12-13
HY02147,金属、玻璃与塑料包装,2021-12-13
HY02145,玻璃纤维,2021-12-13
HY07106,消费信贷,2021-12-13
HY07107,证券公司,2021-12-13
HY07108,资产管理,2021-12-13
HY04103,汽车电子,2021-12-13
HY02017,稀有金属,2016-12-12
HY06112,中成药,2021-12-13
HY06010,制药与生物科技服务,2016-12-12
HY02018,其它有色金属及合金,2016-12-12
HY03153,航空运输,2021-12-13
HY04129,学历教育,2021-12-13
HY01106,油气流通及其他,2021-12-13
HY07012,多元化保险,2016-12-12
HY01105,天然气加工,2021-12-13
HY01102,油田服务,2021-12-13
HY03159,港口,2021-12-13
HY07013,财产与意外伤害保险,2016-12-12
HY04004,摩托车,2016-12-12
HY03139,工业集团企业,2021-12-13
HY01108,焦炭,2021-12-13
HY09112,广播与电视,2021-12-13
HY02114,民爆制品,2021-12-13
HY08001,互联网信息服务,2016-12-12
HY05117,家庭用品,2021-12-13
HY04005,汽车经销商与汽车服务,2016-12-12
HY09106,通信技术服务,2021-12-13
HY08005,软件开发,2016-12-12
HY08003,系统集成及IT咨询,2016-12-12
HY03004,建筑装修,2016-12-12
HY04118,休闲设备与用品,2021-12-13
HY02115,涂料油墨,2021-12-13
HY03148,办公服务与用品,2021-12-13
HY03149,贸易商,2021-12-13
HY01006,石油与天然气的储存和运输,2017-06-12
HY03144,环境监测,2021-12-13
HY03146,商业印刷,2021-12-13
HY03147,市场服务,2021-12-13
HY03140,固废处理,2021-12-13
HY03142,烟气治理,2021-12-13
HY04107,摩托车及其他,2021-12-13
HY04112,小家电,2021-12-13
HY04106,乘用车,2021-12-13
HY01103,综合性石油与天然气企业,2021-12-13
HY03005,园林工程,2016-12-12
HY08103,系统集成服务,2021-12-13
HY01001,石油与天然气钻井,2016-12-12
HY04127,餐饮服务,2021-12-13
HY02111,无机盐,2021-12-13
HY08008,光电子器件,2016-12-12
HY08004,IT外包服务,2016-12-12
HY08006,电脑与外围设备,2016-12-12
HY08002,移动互联网信息服务,2016-12-12
HY11002,园区,2016-12-12
HY11003,房地产管理与服务,2016-12-12
HY02118,有机硅,2021-12-13
HY02119,聚氨酯,2021-12-13
HY03014,铁路设备,2016-12-12
HY03131,印刷包装机械,2021-12-13
HY02117,氟化工,2021-12-13
HY02003,塑料制品,2016-12-12
HY07101,综合性银行,2021-12-13
HY03102,航天,2021-12-13
HY03103,国防装备,2021-12-13
HY03104,房屋建设,2021-12-13
HY03106,园林工程,2021-12-13
HY03107,专业工程,2021-12-13
HY03108,建筑设计及服务,2021-12-13
HY03109,建筑装修,2021-12-13
HY05002,大卖场与超市,2016-12-12
HY05001,食品经销商,2016-12-12
HY05007,软饮料,2016-12-12
HY02112,钛白粉,2021-12-13
HY05005,黄酒,2016-12-12
HY05009,畜牧产品,2016-12-12
HY05008,包装食品与肉类,2016-12-12
HY04027,互联网零售,2016-12-12
HY03026,物流,2016-12-12
HY06109,原料药,2021-12-13
HY02148,纸材料包装,2021-12-13
HY09108,其他广告营销,2021-12-13
HY09109,影视动漫,2021-12-13
HY03034,港口,2016-12-12
HY09104,通信系统设备及组件,2021-12-13
HY09105,数据中心,2021-12-13
HY03030,公路运输,2016-12-12
HY03031,公共交通,2016-12-12
HY03032,机场,2016-12-12
HY09101,电信运营服务,2021-12-13
HY10109,水务,2021-12-13
HY10106,其他能源发电,2021-12-13
HY10107,电网,2021-12-13
HY09003,通信终端设备,2016-12-12
HY04016,酒店,2016-12-12
HY02146,其他非金属材料,2021-12-13
HY04125,旅游服务,2021-12-13
HY03145,生态修复,2021-12-13
HY11102,园区,2021-12-13
HY06006,生物科技,2016-12-12
HY06007,化学药,2016-12-12
HY07011,人寿与健康保险,2016-12-12
HY04116,家具,2021-12-13
HY04117,其他家居,2021-12-13
HY01005,石油与天然气的炼制和营销,2016-12-12
HY04115,家电零部件及其他,2021-12-13
HY03012,商用货车,2016-12-12
HY04110,白色家电,2021-12-13
HY04111,黑色家电,2021-12-13
HY07105,其他综合性金融服务,2021-12-13
HY04022,营销与广告,2016-12-12
HY04023,广播与有线电视,2016-12-12
HY04020,教育服务,2016-12-12
HY04021,特殊消费者服务,2016-12-12
HY04026,日用品经销商,2016-12-12
HY04024,电影与娱乐,2016-12-12
HY04025,出版,2016-12-12
HY04028,百货商店,2016-12-12
HY04029,综合货品商店,2016-12-12
HY01002,石油与天然气开采设备与服务,2016-12-09
HY08009,电脑及电子设备经销商,2016-12-12
HY07102,区域性银行,2021-12-13
HY07103,多领域投资,2021-12-13
HY04120,服装,2021-12-13
HY07009,综合性资本市场,2020-06-15
HY09116,其他数字媒体,2021-12-13
HY03101,航空,2021-12-13
HY07008,投资银行业与经纪业,2016-12-12
HY04017,休闲服务,2016-12-12
HY07005,特殊金融服务,2016-12-12
HY07004,多领域控股,2016-12-12
HY07007,资产管理与托管银行,2016-12-12
HY07006,消费信贷,2016-12-12
HY07001,综合性银行,2016-12-12
HY07109,其他资本市场,2021-12-13
HY02110,氯碱,2021-12-13
HY02107,粘胶,2021-12-13
HY02144,玻璃,2021-12-13
HY05003,白酒,2016-12-12
HY07003,其它综合性金融服务,2016-12-12
HY02105,磷肥及磷化工,2021-12-13
HY06002,医疗用品经销商,2016-12-12
HY02103,复合肥,2021-12-13
HY02142,其他钢铁,2021-12-13
HY10006,供热或其他公用事业,2016-12-12
HY10101,火电,2021-12-13
HY04119,纺织品,2021-12-13
HY04012,鞋类,2016-12-12
HY04011,服装服饰,2016-12-12
HY04010,休闲设备与用品,2016-12-12
HY04015,景点,2016-12-12
HY04014,珠宝与奢侈品,2016-12-12
HY02121,其他化学制品,2021-12-13
HY02120,胶黏剂及胶带,2021-12-13
HY02123,合成树脂,2021-12-13
HY02122,改性塑料,2021-12-13
HY02124,膜材料,2021-12-13
HY02128,铜,2021-12-13
HY02116,印染化学品,2021-12-13
HY08105,其他IT与互联网服务,2021-12-13
HY08007,电子设备及仪表制造商,2016-12-12
HY08107,消费电子终端,2021-12-13
HY08106,电脑与外围设备,2021-12-13
HY08101,通用软件,2021-12-13
HY08102,行业应用软件,2021-12-13
HY08109,安防设备及其他,2021-12-13
HY03002,建筑产品,2016-12-12
HY02101,氮肥,2021-12-13
HY04019,旅行社,2016-12-12
HY05006,葡萄酒及其他,2016-12-12
HY11103,房地产管理,2021-12-13
HY04124,景点,2021-12-13
HY04123,珠宝与奢侈品,2021-12-13
HY04122,家用纺织,2021-12-13
HY04121,鞋帽与配饰,2021-12-13
HY11104,房地产服务,2021-12-13
HY05004,啤酒,2016-12-12
HY03111,光伏设备,2021-12-13
HY04128,其他休闲服务,2021-12-13
HY06104,医疗服务,2021-12-13
HY02021,林业产品,2016-12-12
HY03138,商用车,2021-12-13
HY03135,其他专用机械,2021-12-13
HY03134,楼宇设备,2021-12-13
HY03137,船舶及其他航运设备,2021-12-13
HY03136,城轨铁路,2021-12-13
HY03133,农业机械,2021-12-13
HY03132,纺织服装机械,2021-12-13
HY05010,渔业产品,2016-12-12
HY05011,其他农产品,2016-12-12
HY05012,家常用品,2016-12-12
HY02104,农药,2021-12-13
HY02150,纸制品,2021-12-13
HY10002,水电,2016-12-12
HY03006,电气部件与设备,2016-12-12
HY01107,煤炭,2021-12-13
HY01104,燃油炼制,2021-12-13
HY03009,工业集团企业,2016-12-12
HY03008,新能源设备,2016-12-12
HY02109,纯碱,2021-12-13
HY04001,汽车零配件,2016-12-12
HY03001,航空航天与国防,2016-12-12
HY06111,中药饮片,2021-12-13
HY03003,土木工程,2016-12-12
HY04113,照明电器,2021-12-13
HY04002,轮胎,2016-12-12
HY03007,重型电气设备,2016-12-12
HY04030,其他零售,2016-12-12
HY04007,家庭装饰品,2016-12-12
HY02138,钛,2021-12-13
HY09005,其它通信设备,2016-12-12
HY09004,通信传输设备,2016-12-12
HY09002,电信增值服务,2016-12-12
HY09001,电信运营服务,2016-12-12
HY09102,电信增值服务,2021-12-13
HY01004,石油与天然气的勘探与生产,2016-12-12
