,name,start_date
L72,商务服务业,1996-08-29
L71,租赁业,1997-01-30
G53,铁路运输业,1998-05-11
G57,管道运输业,1996-11-04
G56,航空运输业,1997-11-05
G55,水上运输业,1993-11-19
G54,道路运输业,1991-01-14
G59,装卸搬运和仓储业,1996-06-14
P83,教育,2024-02-08
P82,教育,2012-10-26
R90,娱乐业,2024-02-08
C43,金属制品、机械和设备修理业,2010-09-29
O80,机动车、电子产品和日用产品修理业,2012-01-01
O81,机动车、电子产品和日用产品修理业,1998-03-27
D45,燃气生产和供应业,2000-12-11
D44,电力、热力生产和供应业,1993-04-16
A02,林业,1996-12-06
A03,畜牧业,1997-06-11
C39,计算机、通信和其他电子设备制造业,1990-12-19
C38,电气机械和器材制造业,1990-12-19
C35,专用设备制造业,1992-07-01
C34,通用设备制造业,1992-03-27
C37,铁路、船舶、航空航天和其他运输设备制造业,1992-03-31
C36,汽车制造业,1992-07-24
C31,黑色金属冶炼和压延加工业,1994-01-06
C30,非金属矿物制品业,1992-02-28
C33,金属制品业,1993-11-30
C32,有色金属冶炼和压延加工业,1996-02-15
G58,多式联运和运输代理业,1993-05-05
K70,房地产业,1992-01-13
D46,水的生产和供应业,1994-02-24
S91,综合,2024-02-08
S90,综合,1990-12-10
Q83,卫生,2007-02-05
Q84,卫生,2023-02-08
A01,农业,1993-09-17
A04,渔业,1993-05-07
A05,农、林、牧、渔专业及辅助性活动,1997-05-30
F52,零售业,1992-09-02
F51,批发业,1992-05-06
C22,造纸和纸制品业,1993-03-12
C23,印刷和记录媒介复制业,1994-02-24
C20,木材加工和木、竹、藤、棕、草制品业,2005-05-10
C21,家具制造业,1996-04-25
C26,化学原料和化学制品制造业,1990-12-19
C27,医药制造业,1993-06-29
C24,文教、工美、体育和娱乐用品制造业,2007-01-10
C25,石油、煤炭及其他燃料加工业,1993-10-25
C28,化学纤维制造业,1993-07-28
C29,橡胶和塑料制品业,1992-08-28
H61,住宿业,1993-11-18
H62,餐饮业,1997-04-30
C40,仪器仪表制造业,1993-09-17
C41,其他制造业,1992-08-14
C42,废弃资源综合利用业,2012-10-26
E47,房屋建筑业,1993-04-29
E48,土木工程建筑业,1994-01-28
E49,建筑安装业,2009-05-19
B07,石油和天然气开采业,1996-06-28
B06,煤炭开采和洗选业,1994-01-06
B09,有色金属矿采选业,1996-03-20
B08,黑色金属矿采选业,1997-07-08
O79,居民服务业,1993-06-14
M73,研究和试验发展,2012-10-26
M75,科技推广和应用服务业,2009-02-11
M74,专业技术服务业,2007-02-15
C19,皮革、毛皮、羽毛及其制品和制鞋业,1994-04-04
C18,纺织服装、服饰业,1993-12-31
C13,农副食品加工业,1993-12-15
C17,纺织业,1992-06-16
C16,烟草制品业,2012-01-01
C15,酒、饮料和精制茶制造业,1992-10-12
C14,食品制造业,1994-08-18
R89,体育,2012-01-01
R88,文化艺术业,2017-03-24
R85,新闻和出版业,1992-12-08
R87,广播、电视、电影和录音制作业,2012-10-26
R86,新闻和出版业,1994-02-24
I64,互联网和相关服务,1992-05-07
I65,软件和信息技术服务业,1992-08-20
I63,电信、广播电视和卫星传输服务,1992-12-02
J69,其他金融业,2012-10-26
J68,保险业,2007-01-09
J67,资本市场服务,1994-01-10
J66,货币金融服务,1991-04-03
B12,其他采矿业,2002-02-05
B10,非金属矿采选业,2017-05-03
B11,开采专业及辅助性活动,2002-02-05
G60,邮政业,2017-02-16
N76,水利管理业,2012-01-01
N77,生态保护和环境治理业,2012-10-26
N78,公共设施管理业,1992-08-07
N79,土地管理业,2024-02-08
E50,建筑装饰、装修和其他建筑业,1997-05-22
